Timestamp,Presenter's Name,Reviewer's Name,Please briefly restate the investment recommendation given in the presentation,What part of the presentation was really persuasive to you?,"Please indicate the day of the month your birthday falls on. (Ex: My birthday is January 8th, so I would say 8)",relative gender,Please rate the overall presentation on a scale of 1-5,Which arguments do you think could have been stronger? How?
11/28/2017 20:27,18,,Niels Dirken as a bed and breakfast,His confidence was the most impressive part of the presentation,28,instructor,3,"He really could have benefited from some data visualizations,  simply showing excel tables was tough to follow."
11/28/2017 20:27,18,33,"Bed & Breakfasts in Centrum-Oost or Centrum-West, picked 3 hosts he'd like to manage","I like that Kyle focused on targeting an area that wasn't over-saturated, but that had high revenue.",7,f-m,4,This is a great start and Kyle had creative ways of looking at the data. Pull this together in a deck to make it easier for your audience to visualize.
11/28/2017 20:27,18,5,Bed & Breakfast in Centrum-Oost,the colors,12,f-m,4,Not sure I agree with the conclusion to open a B&B because the data shows that they aren't doing that well.
11/28/2017 20:28,11,26,Yes invest in Amsterdam!,I really liked the earnings per host. It was helpful to put it into context for what our investor individually could make vs. the whole market.,4,f-f,3,I think more details about where and how to invest would have been beneficial. I agree with the 'yes' recommendation 100%! I would just like to see a little more detail on what the investment should look like. 
11/28/2017 20:29,11,15,I missed the first half cause my rooms got swapped - but I think it's whether or not to invest in Amsterdam.,Data on the host,1,f-f,4,More data on the property types?
11/28/2017 20:29,11,7,"Buy a place, but try to find out more information about the price of the place first.",She showed the top individuals to reach out to for further advice/research,29,m-f,4,"Perhaps a stronger overall narrative tying everything together, but it was strong and well organized."
11/28/2017 20:29,11,1,Yes,The table showing Amsterdam as having the most revenue ,8,m-f,3,I found the pie tables a little confusing. 
11/28/2017 20:30,11,,"Yes, the investor should invest in Amsterdam.","You have a good start on this analysis with some more time, I expect you would have gotten to more details.",20,instructor,3,Consider using a histograms instead of the pie charts.  The pie charts are not the most effective use to show frequency
11/28/2017 20:31,12,32,Invest in boats,The design of the presentation was fabulous!! So creative,25,f-f,4,"The presentation as a whole was great, but there was so much information to absorb. It seemed like the initial interest in how lucrative the market is was lost in the large amount of information."
11/28/2017 20:31,12,34,Invest w/Daan,,1,f-f,5,none
11/28/2017 20:32,18,18,b&b in centrum-oost with 3 potential hosts,"all of it, i designed it",9,m-m,5,presentation could have been aggregated better for format.
11/28/2017 20:34,12,21,Look into boats; high growth neighborhoods,Beautifully presented; clear and easy to follow,23,f-f,5,"I missed the first minute or so, so I can't comment on that, but I found it really wonderful. I would have liked to hear about the data cleaning, but that may have been in the beginning."
11/28/2017 20:34,12,31,"central west location, boats are more profitable",all graphs and tables,3,f-f,5,very strong presentation!!!
11/28/2017 20:36,15,7,Invest i a Centrum-West home,stackd bar chart was very good,29,m-f,5,none. Very good presentation.
11/28/2017 20:37,15,1,Invest in Centrum West,The bar chart showing Centrum West with the highest number of stays,8,m-f,4,The stacked bar graphs are not as intuitive to me (this may be subjective)
11/28/2017 20:37,33,18,target 1 bedroom in top 4 neighborhoods in centrum-west,charts were really powerful painting a picture.,9,m-f,5,"less overview of objective, more details of your analysis"
11/28/2017 20:37,15,26,"Yes, invest in Amsterdam. Invest in Centrum-Oost in an entire home when away, and private room when there.",The narrative was really great for setting the context. And the recommendation came full circle which helped me believe that everything presented was very relevant. I did like the end analysis slides that validated the work that went into the recommendation.,4,f-f,4,I think the arguments were great! I did struggle with where we were looking at occupancy vs. revenue but I'm sure with more time I would have followed easily. 
11/28/2017 20:37,15,11,"yes to investing - centrum west, apartment",graphs at the end breaking it up by type,22,f-f,5,None? Thought it was good. Made it way simpler than I did which is good for the scenario.
11/28/2017 20:38,33,5,"Buy an apartment from one of the top hosts in the Centrum neighborhood, they do best.","Nice clean presentation slides, well organized content.",12,f-f,5,Maybe if we hadn't all been kicked out of the meeting room halfway thru...
11/28/2017 20:38,15,,Investment in Centrum Oost,Understanding how you came to you conclusion was good.  As then see the main charts too.  Good job!,20,instructor,4,Consider showing some of the charts on a per listing instead of totals for the neighborhood.
11/28/2017 20:39,33,9,"Target 1-bedroom apartments, preferably in Centrum-West","Amazing layout, great organization--every slide flowed nicely from the last, and everything was clear",25,f-f,5,"Honestly, none. She qualified some things as she went."
