"","rank","player_name","g_eligible","g_started","minutes","fg","fg_attempts","fg_pct","two_pts","two_attempts","two_point_pct","three","three_attempts","three_pct","free_throws","free_throws_attempts","free_throw_pct","orb","drb","rebounds","assists","steals","blocks","turnovers","fouls","points","part_url","year"
"4678",16,"Andrew Leone",3,0,0.7,0,0.3,0,0,0,NA,0,0.3,0,0,0,NA,0,0,0,0,0,0,0.3,0,0,"/cbb/schools/fairfield/",2015
"9300",2,"Ja'Quan Newton",30,28,31.4,5,11.1,0.452,4.6,9.7,0.476,0.4,1.3,0.275,3.1,4.4,0.699,0.6,2.9,3.5,3.4,1.1,0,3.3,1.6,13.5,"/cbb/schools/miami-fl/",2017
"11284",13,"Alex Biggerstaff",7,0,7,0.1,1.6,0.091,0.1,0.4,0.333,0,1.1,0,0.1,0.3,0.5,0.4,0.9,1.3,0.7,0,0,0.1,0.6,0.4,"/cbb/schools/north-carolina-asheville/",2014
"16617",1,"Toddrick Gotcher",32,31,28.9,3.4,8.1,0.423,1.5,3.2,0.471,1.9,4.9,0.392,2.1,2.5,0.848,1,2.5,3.5,2.2,1,0.3,0.8,2.2,10.9,"/cbb/schools/texas-tech/",2016
"12794",2,"Jett Raines",32,32,28.5,4.2,8.5,0.489,3.8,7.3,0.519,0.4,1.2,0.308,1.9,2.5,0.785,1.4,3.7,5.1,0.5,0.7,0.7,1,2.1,10.6,"/cbb/schools/pepperdine/",2015
"16116",7,"Josiah Moore",4,1,15.8,1.5,4.8,0.316,1,2.8,0.364,0.5,2,0.25,1,1.8,0.571,0.5,2.5,3,0.3,0.3,0,1,1,4.5,"/cbb/schools/tennessee-tech/",2016
"12734",6,"Mike Auger",22,2,19.1,1.8,3.3,0.556,1.8,3.2,0.563,0,0,0,1.8,2.4,0.769,1.3,3.1,4.4,0.5,0.3,0,1.7,2.8,5.5,"/cbb/schools/pennsylvania/",2015
"8042",9,"Glenn Feidanga",17,0,14.4,1.3,3.2,0.4,1.3,3.2,0.407,0,0.1,0,1.5,2,0.765,1.9,1.8,3.6,0.1,0.2,0.2,0.3,2.6,4.1,"/cbb/schools/long-island-university/",2015
"604",8,"Michael Obacha",30,6,16.9,1,1.8,0.574,1,1.8,0.574,0,0,NA,1.3,2.3,0.543,1.8,1.8,3.7,0.4,0.3,0.4,1,2.7,3.3,"/cbb/schools/appalachian-state/",2016
"10441",1,"Shavon Shields",30,30,30.7,6,12.8,0.47,5.1,10.3,0.497,0.9,2.6,0.364,3.8,4.9,0.769,1.3,3.8,5.1,2.7,1.3,0.3,2.4,1.8,16.8,"/cbb/schools/nebraska/",2016
"18913",10,"Matt Sellers",12,1,6.9,0.3,1.2,0.286,0.3,1.2,0.286,0,0,NA,0.5,0.7,0.75,0.5,0.4,0.9,0.1,0.1,0.2,0.7,1.1,1.2,"/cbb/schools/wyoming/",2014
"15424",5,"Shake Milton",30,23,32.7,3.8,7.9,0.477,2,3.8,0.53,1.7,4.1,0.426,1.2,1.7,0.725,0.3,2.7,3,2.7,0.8,0.3,1.5,1.4,10.5,"/cbb/schools/southern-methodist/",2016
"10668",9,"Keon Burns",27,0,13.8,0.6,2,0.291,0.3,0.6,0.412,0.3,1.4,0.237,0.1,0.2,0.8,0.3,1.3,1.6,0.7,0.2,0,0.6,0.7,1.7,"/cbb/schools/new-hampshire/",2017
"14852",8,"Najee Pritchett",32,0,8.1,0.7,2.1,0.324,0.3,0.5,0.588,0.4,1.6,0.235,0.3,0.8,0.385,0.4,0.6,1,0.3,0.1,0.1,0.1,0.6,2.1,"/cbb/schools/south-carolina-state/",2016
"16501",10,"Giovanni Mack",24,1,9.3,0.5,1.4,0.382,0.3,0.7,0.353,0.3,0.7,0.412,0.4,0.6,0.643,0.1,0.8,0.9,0.6,0.3,0,0.3,0.7,1.8,"/cbb/schools/texas-southern/",2015
"19057",15,"Thomas Ryan",8,0,2.8,0.1,0.9,0.143,0,0.3,0,0.1,0.6,0.2,0.3,0.4,0.667,0.1,0.3,0.4,0,0.1,0,0,0.1,0.6,"/cbb/schools/yale/",2016
"547",6,"Jalen Rhea",22,1,16.6,1.3,3.9,0.337,0.3,1,0.333,1,3,0.338,0.6,1,0.667,0.6,0.6,1.2,0.4,0.5,0,0.4,1.6,4.3,"/cbb/schools/american/",2016
"3179",9,"Thomas Akyazili",33,1,16,1.2,3.8,0.325,0.7,2,0.358,0.5,1.8,0.288,0.7,1.1,0.667,0.1,1.5,1.6,1.6,0.5,0.2,0.9,2.3,3.7,"/cbb/schools/colorado/",2016
"6350",2,"Danuel House",24,18,28.5,4.6,10.7,0.428,3.1,6.3,0.493,1.5,4.4,0.333,3,4.3,0.699,1.7,3.7,5.3,1.9,0.8,0.8,2.2,2.1,13.6,"/cbb/schools/houston/",2014
"8332",10,"Lance Richard",6,0,2.5,0.5,1,0.5,0,0,NA,0.5,1,0.5,0,0,NA,0,0.5,0.5,0,0,0,0.5,0,1.5,"/cbb/schools/louisiana-monroe/",2017
"806",11,"Josh Pierre",8,0,2.6,0.4,1.3,0.3,0.1,0.1,1,0.3,1.1,0.222,0.5,0.8,0.667,0.1,0.3,0.4,0,0.3,0,0.1,0,1.5,"/cbb/schools/arkansas-state/",2014
"1204",6,"Rico Gathers",38,1,17.8,2.1,4.4,0.473,2.1,4.4,0.473,0,0,NA,2.2,3.8,0.582,2.7,3.7,6.4,0.2,0.7,0.5,0.8,2.5,6.4,"/cbb/schools/baylor/",2014
"3289",1,"Luke Petrasek",27,27,29.3,5.5,11.3,0.485,3.9,7,0.556,1.6,4.3,0.371,2.6,3.2,0.802,1,4.6,5.7,1.9,1.2,0.7,2,2.1,15.1,"/cbb/schools/columbia/",2017
"6018",13,"Matt Fraschilla",7,0,2.4,0.3,0.4,0.667,0,0,NA,0.3,0.4,0.667,0,0,NA,0,0,0,0.1,0.3,0,0.1,0.1,0.9,"/cbb/schools/harvard/",2014
"18777",1,"Bronson Koenig",36,35,31.4,5,12,0.419,2.2,4.7,0.459,2.9,7.3,0.393,1.6,1.8,0.905,0.2,2,2.1,2,0.6,0.3,1.4,1.7,14.5,"/cbb/schools/wisconsin/",2017
"14404",8,"Tyler Winston",1,0,21,1,3,0.333,0,1,0,1,2,0.5,1,2,0.5,0,1,1,1,0,0,0,0,4,"/cbb/schools/san-jose-state/",2015
"8108",11,"Bryan Gee",33,5,15.1,0.2,1.3,0.182,0.2,0.8,0.231,0.1,0.5,0.111,0.4,0.7,0.522,0.2,1.8,1.9,1.8,0.4,0,1,1.4,0.9,"/cbb/schools/longwood/",2016
