"","point.d","fg.d","three.d","ft.d","orb.d","drb.d","ast.d","stl.d","blk.d","tov.d","pf.d","g","team","loc.home","win","year"
"1",-0.2568921,-0.9206358,-1.116609,0.3043724,1.285914,-0.18633,-0.3686514,-1.31224,0.2715085,0.4278186,0.2159815,21,"georgia southern",1,0,2015
"2",0.251984399213712,0.418047629678062,1.12049805259279,-1.11086643286632,0.158980179784145,0.225261131179383,0.432548910551756,0.228768445091249,0.873656099378662,0.828423348902967,-0.349691772824939,23,"akron",1,1,2016
"3",0.315594,0.07229495,-0.4217037,0.3757289,-0.5923092,-0.597921,-0.2084113,2.540282,-0.02956535,-2.176112,0.7816548,5,"portland state",0,1,2016
"4",1.905833,2.81172,2.004369,-0.8908503,-0.02884217,2.283217,0.592789,0.4856032,1.475804,0.2275162,-0.5382495,7,"georgia",0,1,2014
"5",-1.083816,-1.186599,-0.6960083,1.095241,0.7224472,-0.04913292,-0.6891315,-0.7985707,-0.631713,1.028726,0.7816548,31,"saint louis",0,0,2015
"6",0.1883748,0.6219531,0.3158711,0.5838523,0.5346249,1.460034,-0.04817127,-0.5417359,0.8736561,1.829935,1.347328,24,"tennessee state",0,1,2017
"7",-0.256892085444883,-0.592614055066312,-0.196164290337269,0.238962156910817,0.346802531084342,0.362458159066432,0.112068791516447,-0.798570708651368,0.271508466304367,0.828423348902967,-0.726807287886889,3,"boston college",1,0,2013
"8",0.5064226,1.224804,1.193646,-0.3854079,-1.343599,1.322837,0.753029,0.2287684,0.2715085,0.628121,0.593097,5,"maryland",0,1,2014
"9",0.315594,0.719473,0.08423602,-0.278373,-0.02884217,1.322837,1.073509,0.2287684,-0.02956535,0.8284233,1.15877,1,"washington",0,1,2015
"10",0.3792035,-0.007494132,-0.2632165,1.469863,-1.155776,0.6368522,-0.6891315,0.4856032,-0.02956535,-0.5736933,-2.800943,1,"marquette",1,1,2013
"11",-0.447720767191857,-0.00749413231956926,-0.574095148030158,1.39256015874679,-0.592309225416642,0.225261131179383,0.272308851034102,-1.05540549708702,0.271508466304367,1.42933050310651,1.34732804495384,20,"bryant",1,0,2016
"12",1.524176,0.9411094,0.8461934,0.3222115,1.473737,0.9112463,1.554229,-0.02806634,-0.3306392,0.02721381,0.593097,28,"texas am",1,1,2015
"13",0.315594,-0.007494132,0.4987408,0.8157612,0.1589802,0.6368522,-0.04817127,-0.02806634,-0.02956535,0.628121,-1.481038,25,"davidson",1,1,2016
"14",-0.002453843,0.1432186,-0.5679995,0.1913911,-0.2166645,0.6368522,-0.04817127,-0.2849011,1.17473,1.028726,-0.161134,35,"south carolina upstate",1,1,2015
"15",1.778614,-0.3709777,0.2853928,0.6908871,1.098092,-0.8723151,1.393989,1.512942,0.2715085,-2.376415,-1.858154,3,"citadel",1,1,2016
"16",-0.1932825,-0.5926141,0.8583847,2.076394,-1.719243,-0.18633,0.2723089,0.4856032,-0.9327868,-0.1730886,0.02742374,20,"elon",1,0,2015
"17",2.09666165610112,1.65921110217116,1.43137666134017,0.80981477637604,-0.592309225416642,2.14601952159806,-0.368651387036516,0.742438021962557,1.7768775489901,-0.173088574769602,-1.48103831801079,12,"arkansas",0,1,2016
"18",0.6336418,-0.1050141,-0.1778773,0.9287424,0.5346249,-0.8723151,0.4325489,0.9992728,0.5725823,-1.374903,0.4045393,16,"rider",1,1,2017
"19",0.315594,0.5244331,0.1147143,0.6314233,-1.343599,1.322837,-0.04817127,0.2287684,-0.3306392,-0.7739957,-1.481038,13,"duquesne",1,1,2014
"20",-0.00245384311558543,-0.237995920068287,-0.592382125015298,0.61358418843487,1.66155899018572,1.04844329850167,-0.528891446554171,-0.541735920215714,-1.23386061638137,0.42781857943394,-0.915365045417865,35,"alabama birmingham",0,1,2015
"21",-0.002453843,-0.02522504,-0.3851297,-0.8611184,0.5346249,-0.8723151,0.4325489,-0.02806634,0.8736561,-0.7739957,-0.3496918,13,"rutgers",0,1,2014
"22",-0.5749399,-0.6724031,-0.9276434,-0.6529951,-0.02884217,-0.8723151,0.1120688,-0.2849011,-0.02956535,0.02721381,-1.481038,3,"drexel",1,0,2015
"23",-0.574939888356506,-0.0784177593191746,0.462166881127763,0.238962156910818,-0.592309225416642,-0.0491329245947142,0.432548910551756,-1.05540549708702,-0.0295653502327804,1.02872573363748,0.404539257298963,2,"belmont",0,0,2013
"24",-0.2568921,0.3027967,1.022968,-1.426025,-0.5923092,-0.597921,-0.3686514,0.742438,-0.02956535,0.2275162,0.02742374,19,"idaho state",1,0,2015
"25",0.5064226,0.7638003,0.8949587,-0.5221747,-0.4044869,0.0880641,0.592789,0.4856032,-0.02956535,-0.1730886,0.02742374,16,"weber state",0,1,2015
"26",-0.5113303,-0.7255959,-0.4765646,1.184437,-0.02884217,-0.04913292,0.4325489,-0.5417359,-1.836008,0.628121,1.347328,20,"florida atlantic",1,0,2015
"27",-1.847131,-1.230927,0.12081,-1.705505,-0.2166645,-0.7351181,-0.3686514,-0.7985707,-0.9327868,0.628121,1.347328,3,"southern utah",0,0,2013
"28",0.1247653,-0.512825,-0.2327382,0.8871177,-0.5923092,-0.18633,0.4325489,0.2287684,-0.3306392,-1.1746,-0.7268073,17,"providence",1,0,2015
"29",1.5241756108602,2.12908013104354,1.27288952746896,0.0784098576862234,-1.34359863061743,2.14601952159806,1.87470944621065,0.485603233526903,1.47580373245296,1.42933050310651,0.593097014829938,2,"belmont",0,1,2014
"30",0.1883748,-0.4950941,-0.1717817,2.736442,0.9102696,0.2252611,-0.3686514,-0.5417359,-0.9327868,1.229028,-0.3496918,30,"long island university",0,1,2017
"31",-0.8293781,-0.2468614,-0.4643733,-0.9027431,-0.02884217,-0.18633,0.592789,0.9992728,-0.02956535,-0.373391,1.347328,26,"western illinois",1,0,2016
"32",0.5700322,-0.2823232,-0.7142953,0.9109033,1.473737,0.0880641,0.9132691,0.4856032,-0.9327868,-0.373391,-0.3496918,22,"ipfw",0,1,2015
"33",1.460566,0.9233785,0.6755149,0.3519434,0.7224472,0.7740492,1.554229,0.9992728,-0.3306392,-1.1746,-0.7268073,3,"south carolina",0,1,2014
"34",0.9516896,1.180477,0.9559153,1.695826,-1.343599,0.0880641,1.393989,0.742438,-0.3306392,-1.775508,1.347328,25,"northern iowa",0,1,2016
