congress,id,state_abbrev,cd,state,party_code,name,dim.a,dim.b,log.likelihood,num.votes,num.errors,mean.prop
1,4998,1,0,CONNECT,5000,JOHNSON,0.998,-0.064,-29.81118,82,14,0.695
1,2936,1,0,CONNECT,5000,ELLSWORTH,0.527,0.645,-17.25366,97,8,0.837
1,507,11,0,DELAWAR,4000,BASSETT,0.065,-0.135,-26.30825,90,9,0.747
1,7762,11,0,DELAWAR,5000,READ,0.261,-0.285,-23.74557,96,4,0.781
1,3128,44,0,GEORGIA,4000,FEW,-0.691,-0.723,-40.99725,85,26,0.617
1,3877,44,0,GEORGIA,4000,GUNN,-0.053,-0.999,-30.49594,83,13,0.693
1,1536,52,0,MARYLAN,5000,CARROLL,0.18,-0.478,-31.54506,95,13,0.717
1,4333,52,0,MARYLAN,5000,HENRY,0.2,-0.637,-36.13715,97,17,0.689
1,2307,3,0,MASSACH,5000,DALTON,0.839,0.544,-20.55093,99,13,0.813
1,9028,3,0,MASSACH,5000,STRONG,0.703,0.711,-10.76386,82,4,0.877
1,5449,4,0,NEW HAM,5000,LANGDON,-0.939,-0.343,-63.90622,83,38,0.463
1,10272,4,0,NEW HAM,4000,WINGATE,-0.471,0.78,-19.2251,98,9,0.822
1,2943,12,0,NEW JER,5000,ELMER,0.437,-0.086,-35.09565,86,22,0.665
1,7231,12,0,NEW JER,5000,PATERSON,0.92,0.097,-13.81612,72,6,0.825
1,8282,13,0,NEW YOR,5000,SCHUYLER,0.937,-0.349,-19.9098,94,9,0.809
1,5270,13,0,NEW YOR,5000,KING,0.96,-0.281,-18.58703,96,5,0.824
1,4212,47,0,NORTH C,5000,HAWKINS,-0.49,-0.606,-25.00403,73,12,0.71
1,5012,47,0,NORTH C,5000,JOHNSTON,-0.674,-0.569,-40.19906,77,26,0.593
1,5891,14,0,PENNSYL,4000,MACLAY,-0.545,0.237,-19.23452,79,6,0.784
1,6712,14,0,PENNSYL,5000,MORRIS,0.606,-0.497,-31.54759,97,14,0.722
1,8845,5,0,RHODE I,4000,STANTON,-0.048,0.568,-21.3263,61,9,0.705
1,3315,5,0,RHODE I,5000,FOSTER,0.345,0.939,-18.56342,61,10,0.738
1,1346,48,0,SOUTH C,5000,BUTLER,-0.391,-0.92,-54.31227,95,34,0.565
1,4837,48,0,SOUTH C,5000,IZARD,0.392,-0.5,-63.71121,99,38,0.525
1,5565,40,0,VIRGINI,4000,LEE,-0.333,-0.571,-20.14506,91,6,0.801
1,9747,40,0,VIRGINI,5000,WALKER,0.251,-0.968,-20.09566,58,11,0.707
2,2936,1,0,CONNECT,5000,ELLSWORTH,0.657,0.445,-9.24845,52,5,0.837
2,8457,1,0,CONNECT,5000,SHERMAN,-0.464,-0.044,-13.38959,52,8,0.773
2,507,11,0,DELAWAR,5000,BASSETT,0.498,-0.111,-12.05451,36,7,0.715
2,7762,11,0,DELAWAR,5000,READ,0.637,-0.149,-14.54082,52,6,0.756
2,3877,44,0,GEORGIA,4000,GUNN,-0.369,-0.777,-8.34093,45,3,0.831
2,3128,44,0,GEORGIA,4000,FEW,-0.5,-0.625,-11.46575,49,3,0.791
2,4333,52,0,MARYLAN,5000,HENRY,0.181,-0.743,-6.45053,51,2,0.881
2,1536,52,0,MARYLAN,5000,CARROLL,0.368,-0.663,-5.75663,36,3,0.852
2,9028,3,0,MASSACH,5000,STRONG,0.349,0.937,-11.75062,45,4,0.77
2,1384,3,0,MASSACH,5000,CABOT,0.681,0.621,-9.5152,52,6,0.833
2,5449,4,0,NEW HAM,5000,LANGDON,0.549,0.191,-10.52825,48,5,0.803
2,10272,4,0,NEW HAM,4000,WINGATE,-0.674,0.739,-5.27279,51,2,0.902
2,2576,12,0,NEW JER,5000,DICKINSON,0.705,-0.55,-9.901,50,4,0.82
2,8150,12,0,NEW JER,5000,RUTHERFURD,0.912,0.41,-15.23006,44,11,0.707
2,5270,13,0,NEW YOR,5000,KING,0.919,-0.018,-17.49639,46,12,0.684
2,1302,13,0,NEW YOR,4000,BURR,-0.756,-0.655,-26.47951,46,16,0.562
2,5012,47,0,NORTH C,5000,JOHNSTON,0.158,-0.874,-8.63789,52,5,0.847
2,4212,47,0,NORTH C,4000,HAWKINS,-0.126,-0.973,-9.11561,51,3,0.836
2,6712,14,0,PENNSYL,5000,MORRIS,0.622,-0.604,-7.49069,50,5,0.861
2,8845,5,0,RHODE I,4000,STANTON,-0.029,-0.104,-10.408,50,6,0.812
2,3315,5,0,RHODE I,5000,FOSTER,0.25,0.164,-9.18585,51,2,0.835
2,1346,48,0,SOUTH C,4000,BUTLER,-0.394,-0.919,-9.00547,40,2,0.798
2,4837,48,0,SOUTH C,5000,IZARD,0.385,-0.573,-13.28286,51,6,0.771
2,7989,6,0,VERMONT,4000,ROBINSON,-0.739,0.509,-6.06529,49,4,0.884
2,956,6,0,VERMONT,4000,BRADLEY,-0.624,-0.122,-15.81893,47,6,0.714
2,6594,40,0,VIRGINI,4000,MONROE,-0.507,-0.862,-11.09629,52,5,0.808
2,5565,40,0,VIRGINI,4000,LEE,-0.283,-0.628,-8.48452,32,4,0.767
3,2936,1,0,CONNECT,5000,ELLSWORTH,0.492,0.819,-8.15024,78,3,0.901
3,6574,1,0,CONNECT,5000,MITCHELL,0.72,-0.039,-6.24604,41,4,0.859
3,9676,11,0,DELAWAR,5000,VINING,0.457,0.125,-8.84347,56,4,0.854
3,4854,44,0,GEORGIA,4000,JACKSON,-0.471,-0.456,-21.12747,73,13,0.749
3,3877,44,0,GEORGIA,4000,GUNN,-0.139,-0.506,-14.73817,54,8,0.761
3,2866,51,0,KENTUCK,4000,EDWARDS,-0.53,-0.848,-10.51753,49,6,0.807
3,1118,51,0,KENTUCK,4000,BROWN,-0.467,-0.543,-13.83602,69,5,0.818
3,7564,52,0,MARYLAN,5000,POTTS,0.546,-0.838,-17.07127,68,6,0.778
3,4333,52,0,MARYLAN,5000,HENRY,0.552,-0.398,-14.82963,37,8,0.67
3,9028,3,0,MASSACH,5000,STRONG,0.926,0.331,-6.24547,54,4,0.891
3,1384,3,0,MASSACH,5000,CABOT,0.691,0.269,-11.13955,77,5,0.865
3,5449,4,0,NEW HAM,4000,LANGDON,-0.463,0.292,-10.51517,56,4,0.829
3,5713,4,0,NEW HAM,5000,LIVERMORE,-0.023,1,-15.92032,75,7,0.809
