"headline","date"
"HOW MCAULIFFE BECAME THE FRONTRUNNER: 8 TURNING POINTS","2013-11-05"
"BITTER GOVERNOR'S CAMPAIGN COULD BUCK HISTORICAL WHITE HOUSE JINX","2013-11-05"
"POLLS OPEN ACROSS VIRGINIA IN HOTLY CONTESTED GOVERNOR’S RACE","2013-11-05"
"NATIONAL ATTENTION FOCUSED ON VIRGINIA GUBERNATORIAL RACE","2013-11-05"
"ELECTION DAY 2013: WHAT TO WATCH IN VIRGINIA","2013-11-05"
"MCAULIFFE UP 6 POINTS IN ELECTION-EVE POLL","2013-11-05"
"DEMOCRATIC POLL: GUN ISSUE HELPS TERRY MCAULIFFE","2013-11-05"
"MCAULIFFE MAINTAINS LEAD OVER CUCCINELLI HEADING INTO FINAL DAY: POLLS","2013-11-05"
"MCAULIFFE STILL LEADS CUCCINELLI IN LATEST GUBERNATORIAL POLL","2013-11-05"
"IN FINAL DAY, HOPEFULS MEET VOTERS","2013-11-05"
"CUCCINELLI, MCAULIFFE MAKE FINAL APPEALS TO VA. VOTERS","2013-11-05"
"JOE BIDEN: KEN CUCCINELLI'S VIEWS ‘FROM ANOTHER ERA’","2013-11-05"
"TOUTING KEN CUCCINELLI, RON PAUL URGES ‘NULLIFICATION’","2013-11-05"
"RUBIO STUMPS FOR VIRGINIA GOP","2013-11-05"
"RUBIO, CUCCINELLI RIP OBAMACARE","2013-11-05"
"BIDEN RALLIES DEMOCRATS, RUBIO AND PAUL AID GOP ON THE EVE OF VIRGINIA GOVERNOR ELECTION","2013-11-05"
"BIDEN: CHOICE BETWEEN ‘MAINSTREAM’ AND ‘EXTREME’","2013-11-05"
"CUCCINELLI, MCAULIFFE MAKE FINAL GOVERNOR PITCHES","2013-11-05"
"GUBERNATORIAL CANDIDATES MAKE LAST-DITCH PITCHES","2013-11-05"
"A SIDE OF CUCCINELLI VOTERS DON’T GET TO SEE; RELUCTANT POLITICIAN FAN OF ‘RAPPER’S DELIGHT’","2013-11-05"
"SARVIS PUSHING FOR 10 PERCENT OF VOTE","2013-11-05"
"VOTERS GO TO POLLS TODAY TO DECIDE STATE, LOCAL RACES","2013-11-05"
"ELECTION DAY: GET OUT AND VOTE","2013-11-05"
"ELECTION DAY 2013: VOTERS TO DECIDE VIRGINIA’S POLITICAL DIRECTION","2013-11-05"
"TODAY IS DECISION DAY FOR VIRGINIA VOTERS","2013-11-05"
"LIEUTENANT GOVERNOR’S RACE MAY RESHAPE SENATE","2013-11-05"
