seedA,seedB,total,winsA,winsB,percentA,percentB,median_spreadA,median_spreadB
1,1,19,9.5,9.5,0.5,0.5,7,7
1,2,63,34,29,0.539683,0.460317,10,7
1,3,30,17,13,0.566667,0.433333,9,12
1,4,61,44,17,0.721311,0.278689,11.5,5
1,5,43,36,7,0.837209,0.162791,10,6
1,6,11,8,3,0.727273,0.272727,16.5,4
1,7,7,6,1,0.857143,0.142857,7,10
1,8,69,55,14,0.797101,0.202899,13,3.5
1,9,66,61,5,0.924242,0.0757576,13,3
1,10,6,5,1,0.833333,0.166667,3,6
1,11,7,4,3,0.571429,0.428571,17,2
1,12,19,19,0,1,0,15,
1,13,4,4,0,1,0,12,
1,16,132,132,0,1,0,24,
2,2,3,1.5,1.5,0.5,0.5,7,7
2,3,50,32,18,0.64,0.36,9.5,9.5
2,4,7,3,4,0.428571,0.571429,14,8.5
2,5,4,0,4,0,1,,8
2,6,31,24,7,0.774194,0.225806,9,6
2,7,78,55,23,0.705128,0.294872,11,6
2,8,7,2,5,0.285714,0.714286,12,3
2,9,1,0,1,0,1,,4
2,10,46,28,18,0.608696,0.391304,13.5,7.5
2,11,15,13,2,0.866667,0.133333,11,4
2,12,1,1,0,1,0,6,
2,15,132,124,8,0.939394,0.0606061,17,4.5
3,3,1,0.5,0.5,0.5,0.5,1,1
3,4,7,4,3,0.571429,0.428571,11,16
3,5,3,2,1,0.666667,0.333333,19.5,12
3,6,67,39,28,0.58209,0.41791,9,4
3,7,14,8,6,0.571429,0.428571,4,8
3,8,2,2,0,1,0,7,
3,9,1,1,0,1,0,8,
3,10,13,9,4,0.692308,0.307692,5,7
3,11,45,30,15,0.666667,0.333333,14,4
3,14,132,111,21,0.840909,0.159091,13,3
3,15,1,1,0,1,0,12,
4,4,1,0.5,0.5,0.5,0.5,5,5
4,5,71,40,31,0.56338,0.43662,8,9
4,6,4,2,2,0.5,0.5,16.5,8.5
4,7,5,2,3,0.4,0.6,6,6
4,8,9,4,5,0.444444,0.555556,6,7
4,9,2,2,0,1,0,14,
4,10,2,2,0,1,0,3.5,
4,12,36,24,12,0.666667,0.333333,8,8.5
4,13,132,106,26,0.80303,0.19697,12,4
5,5,1,0.5,0.5,0.5,0.5,2,2
5,6,1,1,0,1,0,1,
5,8,3,1,2,0.333333,0.666667,12,6
5,9,2,1,1,0.5,0.5,7,9
5,10,1,1,0,1,0,12,
5,12,132,85,47,0.643939,0.356061,9,6
5,13,15,12,3,0.8,0.2,9.5,6
6,7,7,4,3,0.571429,0.428571,4.5,5
6,8,1,0,1,0,1,,4
6,10,6,4,2,0.666667,0.333333,12,7
6,11,132,83,49,0.628788,0.371212,8,8
6,14,16,14,2,0.875,0.125,8.5,9
7,8,2,1,1,0.5,0.5,6,4
7,10,132,81,51,0.613636,0.386364,9,6
7,11,3,0,3,0,1,,8
7,14,1,1,0,1,0,1,
7,15,3,2,1,0.666667,0.333333,22.5,10
8,9,132,67,65,0.507576,0.492424,7,7
8,11,1,1,0,1,0,8,
8,12,1,0,1,0,1,,9
8,13,1,1,0,1,0,6,
9,13,1,1,0,1,0,14,
10,11,3,1,2,0.333333,0.666667,3,5.5
10,14,1,1,0,1,0,6,
10,15,5,5,0,1,0,13,
11,14,5,5,0,1,0,16,
12,13,11,8,3,0.727273,0.272727,11,6
