name,team,year,season,rank,age,games,starts,reg_minutes,fg,fga,fg_percent,three_made,three_attempts,three_pct,two_made,two_attemtps,two_pct,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,off_rating,def_rating,efficiency_rating,adj_fg_pct,three_rate,ft_rate,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usage,win_share,win_share_per_48,war
Paul Pierce,Boston Celtics,2008,Regular,1,30,80,80,2874,9.4,20.2,0.464,2.6,6.7,0.392,6.7,13.5,0.499,7.5,8.9,0.843,1,6.6,7.5,6.7,1.9,0.7,4.1,3.7,28.8,115,100,19.6,0.599,0.332,0.442,2.3,14,8.5,21.8,1.9,1,14.4,24.8,12.4,0.207,13.230000000000002
Ray Allen,Boston Celtics,2008,Regular,2,32,73,73,2624,8.8,19.8,0.445,3.6,9.1,0.398,5.2,10.7,0.485,4.3,4.8,0.907,1.5,3.9,5.4,4.5,1.3,0.3,2.6,3,25.6,116,103,16.4,0.584,0.458,0.24,3.6,8.3,6.1,14.6,1.3,0.5,10.4,21.6,9.7,0.177,9.18
Kevin Garnett,Boston Celtics,2008,Regular,3,31,71,71,2328,12.1,22.5,0.539,0,0.2,0,12.1,22.2,0.545,6.1,7.6,0.801,3.1,11.8,14.9,5.5,2.3,2,3.1,3.7,30.3,118,94,25.3,0.588,0.011,0.339,7.3,25.1,16.8,19.9,2.3,3.1,10.8,25.5,12.9,0.265,14.850000000000001
Rajon Rondo,Boston Celtics,2008,Regular,4,21,77,77,2306,8,16.3,0.492,0.1,0.4,0.263,7.9,15.9,0.499,2.4,4,0.611,1.8,5.6,7.4,9,3,0.3,3.4,4.3,18.6,107,98,15.6,0.515,0.027,0.245,4.3,11.9,8.3,28.2,3,0.5,15.7,18.9,7.2,0.15,7.290000000000001
Kendrick Perkins,Boston Celtics,2008,Regular,5,23,78,78,1912,5.9,9.6,0.615,0,0,0,5.9,9.6,0.617,3.1,5.1,0.623,4,9.1,13.1,2.3,0.9,3.1,3.5,6.7,15,110,97,13.3,0.632,0.003,0.526,9.6,19.3,14.8,6.8,0.9,4.9,22.6,13.5,6.2,0.156,5.940000000000001
James Posey,Boston Celtics,2008,Regular,6,31,74,2,1821,5,12,0.418,3.1,8.1,0.38,1.9,3.9,0.496,2.7,3.3,0.809,0.9,8.5,9.3,3.3,2.1,0.6,1.9,5.3,15.8,114,98,12,0.587,0.674,0.278,2.1,18,10.5,9.5,2.1,0.9,12.3,13.5,6.2,0.164,6.21
Eddie House,Boston Celtics,2008,Regular,7,29,78,2,1480,7.7,18.9,0.409,4.2,10.6,0.393,3.6,8.3,0.429,1.2,1.3,0.917,0.7,5.3,6,5.4,2.1,0.4,2.7,4.1,20.8,105,100,13,0.534,0.561,0.068,1.6,11.2,6.7,16.9,2.1,0.6,12.2,19.6,3.9,0.127,2.9700000000000006
Tony Allen,Boston Celtics,2008,Regular,8,26,75,11,1373,6.5,15,0.434,0.7,2.2,0.316,5.8,12.8,0.455,5.3,7,0.762,1.3,5.2,6.5,4.4,2.4,0.8,4.2,6.5,19,98,99,10.7,0.527,0.147,0.465,3.1,11,7.3,13.1,2.4,1.3,18.9,19.6,2.7,0.093,0.54
Glen Davis,Boston Celtics,2008,Regular,9,22,69,1,940,6,12.4,0.484,0,0,NA,6,12.4,0.484,5.6,8.4,0.66,5.3,6.3,11.7,1.6,1.7,1.1,3.7,9,17.6,105,99,11.3,0.545,0,0.679,12.8,13.5,13.2,4.6,1.7,1.7,18.5,17.4,2.5,0.128,0.27
Leon Powe,Boston Celtics,2008,Regular,10,24,56,5,809,10,17.6,0.572,0,0.1,0,10,17.5,0.575,8.9,12.6,0.71,6.2,8.6,14.8,1,1,1,2.8,8.3,29,124,100,20.9,0.629,0.004,0.717,14.9,18.3,16.7,3.3,1,1.6,10.8,22.8,4.3,0.256,0.54
