id,region1,region2,region3,region4,homeowner,n_children,hh_income,female,wealth_rating,avg_home_value,median_neighborhood_income,avg_neighborhood_income,pct_low_income,lifetime_promotions_received,lifetime_gifts,largest_gift,most_recent_gift,months_since_gift,gift_time_lag,average_gift_amount,donor,damt
6327,0,0,0,1,1,0,5,1,8,133,33,44,13,39,88,75,32,17,7,46,1,27
2150,0,0,0,1,1,0,4,0,7,250,46,58,1,49,79,30,20,13,3,13.42,1,26
4564,0,1,0,0,1,0,4,1,2,320,95,118,0,55,75,31,20,22,7,28.64,1,25
7698,1,0,0,0,1,2,4,1,8,208,58,58,2,100,173,29,40,16,5,16.48,1,24
7718,0,0,0,1,1,3,4,0,8,235,38,66,9,122,191,14,17,19,5,10.32,1,23
7749,0,0,1,0,1,0,5,1,6,254,63,77,1,27,228,228,62,24,4,32.2,1,23
935,0,0,0,1,1,0,4,1,8,155,31,41,28,107,250,185,56,18,7,33.58,1,22
4133,0,0,0,1,1,1,4,1,8,145,23,52,23,122,189,18,20,23,1,7.56,1,22
5989,0,0,1,0,0,0,4,1,8,240,57,66,3,112,346,35,16,21,5,15.03,1,22
890,0,0,0,1,1,1,4,1,6,219,95,95,4,67,187,187,57,13,5,35.3,1,21
1656,0,1,0,0,1,4,4,1,9,298,52,96,5,37,75,12,8,19,6,8.44,1,21
1730,0,0,0,0,1,0,3,0,6,154,49,58,19,82,172,10,13,18,9,10.35,1,21
2453,0,1,0,0,1,1,4,1,9,165,22,44,29,32,64,64,21,20,6,28.91,1,21
4304,0,0,0,1,1,1,4,0,8,80,28,35,10,56,171,171,46,19,5,16.08,1,21
2429,0,0,0,1,1,0,4,1,7,300,99,101,0,103,202,15,12,22,7,8.24,1,20
2822,0,0,0,0,1,0,5,1,9,157,46,46,17,51,68,41,16,18,6,16.14,1,20
2824,0,0,0,1,1,0,4,1,8,100,20,38,26,108,239,20,23,16,6,15.9,1,20
2894,0,0,0,1,1,0,4,1,8,114,38,38,15,47,67,15,14,14,5,11.46,1,20
3091,1,0,0,0,1,0,3,0,9,167,35,55,9,37,79,79,39,24,5,21.33,1,20
3708,0,1,0,0,1,0,4,1,8,135,29,41,12,106,156,37,45,16,9,14.69,1,20
4446,1,0,0,0,1,0,4,0,3,303,60,95,0,67,97,14,13,21,6,17.82,1,20
4603,1,0,0,0,1,0,4,1,5,112,39,39,26,60,111,111,42,20,4,33.5,1,20
4678,0,1,0,0,1,1,5,0,8,225,55,68,4,117,176,7,8,14,8,4.8,1,20
4949,0,0,0,1,1,0,4,1,8,555,97,212,0,72,84,27,10,20,14,10.89,1,20
5060,1,0,0,0,1,0,4,1,8,178,84,84,0,37,64,22,14,19,5,12.68,1,20
5476,0,0,0,1,1,0,3,1,8,103,27,27,38,55,125,13,16,23,3,10.34,1,20
5590,1,0,0,0,1,0,3,1,9,122,25,26,28,66,168,168,21,18,4,27.24,1,20
6780,1,0,0,0,1,1,2,0,9,159,41,46,8,64,70,47,39,13,4,17.69,1,20
6937,0,0,0,1,1,0,4,1,9,207,63,63,5,57,75,53,38,14,6,20.33,1,20
7466,0,0,0,1,1,0,3,0,7,169,50,50,6,88,119,11,8,34,4,7.14,1,20
7798,1,0,0,0,1,2,4,1,8,115,18,35,44,57,90,9,8,19,4,8.13,1,20
228,0,0,0,1,1,0,4,1,9,182,37,55,12,51,243,243,173,17,15,18.17,1,19
248,0,0,0,1,1,0,5,0,9,206,28,57,3,75,129,17,9,22,11,9.61,1,19
325,0,0,0,1,1,0,6,1,9,127,34,34,19,99,225,53,27,16,4,34.04,1,19
664,1,0,0,0,1,0,4,0,3,228,40,73,11,110,225,34,18,10,13,12.83,1,19
824,0,1,0,0,1,2,3,1,9,199,57,61,4,98,186,30,17,20,6,21.21,1,19
