"","precinct","county","democrat","republican","other","office","active","inactive","total","dem.two.way","turnout","hod_contested"
"1","001 - ARLINGTON","ARLINGTON COUNTY",1004,183,12,"Governor",2660,258,2918,84.5829823083403,45.0751879699248,1
"2","001 - CENTRAL","POQUOSON CITY",365,1004,23,"Governor",2699,151,2850,26.6617969320672,51.5746572804742,1
"3","001 - CHESAPEAKE","MATHEWS COUNTY",258,522,5,"Governor",1501,54,1555,33.0769230769231,52.2984676882079,1
"4","001 - DEAN","MANASSAS CITY",744,346,22,"Governor",2792,398,3190,68.256880733945,39.8280802292264,1
"5","001 - EAST","GALAX CITY",165,370,8,"Governor",1541,169,1710,30.8411214953271,35.2368591823491,0
"6","001 - EAST PRECINCT","RADFORD CITY",843,460,30,"Governor",4323,489,4812,64.6968534151957,30.8350682396484,1
"7","001 - EAST WARD","NORTON CITY",287,560,12,"Governor",2122,184,2306,33.8842975206612,40.4806786050895,1
"8","001 - FIRST","COLONIAL HEIGHTS CITY",225,392,11,"Governor",1761,166,1927,36.4667747163695,35.6615559341283,1
"9","001 - FIRST WARD","BRISTOL CITY",192,459,5,"Governor",1909,194,2103,29.4930875576037,34.3635411210058,0
"10","001 - FIRST WARD","BRISTOL CITY",192,459,5,"Governor",1861,101,1962,29.4930875576037,35.2498656636217,0
"11","001 - FIRST WARD","BRISTOL CITY",192,459,5,"Governor",3155,221,3376,29.4930875576037,20.7923930269414,0
"12","001 - FIRST WARD","BUENA VISTA CITY",289,630,16,"Governor",1909,194,2103,31.4472252448313,48.9785227867994,0
"13","001 - FIRST WARD","BUENA VISTA CITY",289,630,16,"Governor",1861,101,1962,31.4472252448313,50.2418054809242,0
"14","001 - FIRST WARD","BUENA VISTA CITY",289,630,16,"Governor",3155,221,3376,31.4472252448313,29.635499207607,0
"15","001 - FIRST WARD","FALLS CHURCH CITY",1302,355,17,"Governor",1909,194,2103,78.5757392878696,87.6898899947617,0
"16","001 - FIRST WARD","FALLS CHURCH CITY",1302,355,17,"Governor",1861,101,1962,78.5757392878696,89.9516389038152,0
"17","001 - FIRST WARD","FALLS CHURCH CITY",1302,355,17,"Governor",3155,221,3376,78.5757392878696,53.0586370839937,0
"18","001 - GREAT BRIDGE","CHESAPEAKE CITY",454,744,14,"Governor",2569,165,2734,37.8964941569282,47.1778902296613,0
"19","001 - LEXINGTON","LEXINGTON CITY",1042,513,13,"Governor",3466,409,3875,67.0096463022508,45.2394691286786,0
"20","001 - MONTEREY","HIGHLAND COUNTY",125,225,7,"Governor",601,14,615,35.7142857142857,59.4009983361065,1
"21","001 - NORTH BEACH","VIRGINIA BEACH CITY",772,1064,7,"Governor",3620,262,3882,42.0479302832244,50.9116022099448,1
"22","001 - NORTH SALEM NO 2","SALEM CITY",483,572,12,"Governor",2119,145,2264,45.781990521327,50.3539405379896,1
"23","001 - OAK PARK","MADISON COUNTY",248,283,2,"Governor",1051,51,1102,46.7043314500942,50.7136060894386,1
"24","001 - ONE","FAIRFAX CITY",708,361,20,"Governor",2419,166,2585,66.2301216089804,45.0186027284002,0
"25","001 - PRECINCT #1","MARTINSVILLE CITY",367,20,4,"Governor",836,81,917,94.8320413436692,46.7703349282297,0
"26","001 - PRECINCT ONE","MANASSAS PARK CITY",669,295,17,"Governor",2600,242,2842,69.3983402489627,37.7307692307692,1
"27","001 - STRYKER","WILLIAMSBURG CITY",1684,696,26,"Governor",4978,662,5640,70.7563025210084,48.3326637203696,1
"28","001 - WARD A","WAYNESBORO CITY",376,376,20,"Governor",2203,189,2392,50,35.0431230140717,1
"29","001 - WARD ONE","DANVILLE CITY",209,35,2,"Governor",754,62,816,85.655737704918,32.6259946949602,0
"30","001 -Peters Creek","ROANOKE CITY",895,174,7,"Governor",2590,300,2890,83.7231057062675,41.5444015444015,0
"31","002 - ASHTON HEIGHTS","ARLINGTON COUNTY",1276,266,16,"Governor",2974,337,3311,82.7496757457847,52.3873570948218,0
"32","002 - BETHEL","CHESAPEAKE CITY",262,845,13,"Governor",2360,153,2513,23.6675700090334,47.4576271186441,1
"33","002 - CENTRAL PRECINCT","RADFORD CITY",624,540,20,"Governor",2076,141,2217,53.6082474226804,57.0327552986513,1
"34","002 - CONEHURST","SALEM CITY",163,247,13,"Governor",1110,106,1216,39.7560975609756,38.1081081081081,1
"35","002 - EASTERN","POQUOSON CITY",365,1108,17,"Governor",2920,149,3069,24.7793618465716,51.027397260274,1
"36","002 - Grandview","ROANOKE CITY",764,336,10,"Governor",2667,310,2977,69.4545454545455,41.6197975253093,0
"37","002 - MATOAKA","WILLIAMSBURG CITY",1769,633,28,"Governor",4372,779,5151,73.646960865945,55.5809698078683,1
"38","002 - NORTH","GALAX CITY",125,272,2,"Governor",976,70,1046,31.4861460957179,40.8811475409836,0
"39","002 - PRECINCT #2","MARTINSVILLE CITY",433,287,12,"Governor",1667,157,1824,60.1388888888889,43.9112177564487,0
"40","002 - PRECINCT TWO","MANASSAS PARK CITY",470,284,12,"Governor",2243,179,2422,62.3342175066313,34.1506910387873,1
"41","002 - RADIANT","MADISON COUNTY",313,436,8,"Governor",1457,52,1509,41.7890520694259,51.9560741249142,1
"42","002 - SECOND","COLONIAL HEIGHTS CITY",196,541,11,"Governor",1986,189,2175,26.5943012211669,37.6636455186304,1
"43","002 - SECOND WARD","BRISTOL CITY",362,702,11,"Governor",2360,214,2574,34.0225563909774,45.5508474576271,0
"44","002 - SECOND WARD","BRISTOL CITY",362,702,11,"Governor",1683,191,1874,34.0225563909774,63.8740344622698,0
