"","document","topic","gamma"
"1","Put Your Heart In It",1,7.23976141745552e-06
"2","Strangers in a Strange Land",1,6.48843059569965e-06
"3","Taking Names",1,7.28870957635275e-06
"4","What’s In A Number?",1,6.27167675982839e-06
"5","What’s In A Number? — 2006 Edition",1,6.11726368978433e-06
"6","Bait and Switch",1,6.83129504576649e-06
"7","Ground Game",1,6.04041810222634e-06
"8","Swing Set",1,6.58690643059634e-06
"9","Inside Job",1,6.61232242567141e-06
"10","Return To The Giant Pool of Money",1,6.75124802171408e-06
"11","The Giant Pool of Money",1,6.61559267698338e-06
"12","The Center for Lessons Learned",1,6.5010509043724e-06
"13","The Watchmen",1,7.43630375249294e-06
"14","A Not-So-Simple Majority",1,6.89329521212995e-06
"15","No Map",1,0.0198543395063995
"16","Play the Part",1,6.89471810939709e-06
"17","This Party Sucks",1,6.7349218278532e-06
"18","Father's Day 2011",1,6.72408194635208e-06
"19","Old Boys Network",1,6.73492236778046e-06
"20","129 Cars",1,4.88181988824065e-06
"21","#1 Party School",1,5.44586624339183e-06
"22","A Little Bit of Knowledge",1,0.0136210162438238
"23","Back to Penn State",1,6.31792059709729e-06
"24","Continental Breakup",1,7.07798662882013e-06
"25","Four Corners",1,0.130526823205
"26","Get Over It!",1,0.201856720616469
"27","Halloween",1,0.282359724000205
"28","House on Loon Lake",1,0.0797132514368135
"29","I Know What You Did This Summer",1,0.0851340693986758
"30","New Year",1,7.25705656243955e-06
"31","Niagara",1,0.0515117108815526
"32","Someone Else's Money",1,0.0175043607929707
"33","The Facts Don’t Matter",1,6.92615505175377e-06
"34","What I Learned from Television",1,0.0290687872195822
"35","Haunted",1,8.02565250285449e-06
"36","24 Hours at the Golden Apple",1,0.00472620061329595
"37","Bad Baby",1,0.0128350810287782
"38","Bad Bank",1,6.52325894203921e-06
"39","Fake Science",1,0.0457431986011458
"40","Family Business",1,0.00327069734817704
"41","Give It to Them",1,7.37557891491283e-06
"42","Hot In My Backyard",1,6.58690709897719e-06
"43","House Rules",1,7.34316599193257e-06
"44","How To Create a Job",1,7.23270948703018e-06
"45","Shouting Across the Divide",1,7.8008400423887e-06
"46","So Crazy It Just Might Work",1,6.75329576564548e-06
"47","Surrogates",1,7.50561870306668e-06
